gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
CSNK1G1,2,14,14,14,0,2,12,0.8571428571428571,1.0,-0.8996724396247586,-0.6242693925918461,1.0501777228293914,3.7462875874823034,2.117322583327967,replogle;sciplex3
KDM3A,2,14,14,13,1,2,12,0.8571428571428571,1.0,-0.47839892419453334,-0.5016529576937263,0.6393227922312276,1.0280574857850686,1.2889747674140883,adamson;replogle
DBI,2,7,7,7,0,1,6,0.8571428571428571,1.0,-2.1978918675682246,-2.9299782067851727,2.4735815309167526,3.092461569570703,3.82948579299278,replogle;sciplex3
SLFN5,2,7,7,6,1,6,1,0.8571428571428571,1.0,1.355308159269434,2.4679447761732063,2.4527820934349345,3.8411587695792524,3.7972850551786745,adamson;sciplex3
MCUB,2,7,7,7,0,1,6,0.8571428571428571,1.0,-2.34093224458631,-3.2042208224899213,2.4465418579785636,3.432516071992156,3.7876242080521823,replogle;sciplex3
ZFHX4,2,7,7,6,1,1,6,0.8571428571428571,1.0,-2.0320337857009663,-2.8239255834856336,2.397296003590024,3.3875332340714777,3.711384028625062,dixit;sciplex3
STON2,2,7,7,7,0,1,6,0.8571428571428571,1.0,-2.159677452314263,-2.3725382162021877,2.299473855243305,3.5573843570740995,3.559940252605698,replogle;sciplex3
EVC2,2,7,7,6,1,1,6,0.8571428571428571,1.0,-1.9053651033690768,-2.6839269069508975,2.2989498475584385,3.2715192203356662,3.5591290078743096,dixit;sciplex3
RNF167,2,7,7,7,0,1,6,0.8571428571428571,1.0,-1.9307057660144817,-2.8078450218047926,2.0931789943333117,3.5998114318722796,3.240563984167337,replogle;sciplex3
CHST6,2,7,7,4,3,6,1,0.8571428571428571,1.0,1.8002980162172337,2.2618117884764457,2.0054537004129,3.721323849867778,3.1047516963751383,norman;sciplex3
RMDN3,2,7,7,7,0,1,6,0.8571428571428571,1.0,-1.7500883254439388,-0.7344922460416825,1.8976364725629475,4.172522446321057,2.937833995409674,replogle;sciplex3
AC062029.1,2,7,7,6,1,6,1,0.8571428571428571,1.0,1.1793341376458764,1.2953383327477819,1.5118516700930908,3.0709158669933836,2.3405796087053443,norman;sciplex3
ANKRD62,2,7,7,2,5,6,1,0.8571428571428571,1.0,0.8515244226629538,1.098842344573654,1.4989763470333233,2.6619276126131215,2.320646622417523,norman;sciplex3
OAZ2,2,7,7,7,0,1,6,0.8571428571428571,1.0,-1.2223929004662974,-0.6096162108482548,1.4340015281905427,3.4617757526566786,2.2200555796114703,replogle;sciplex3
TPD52L1,2,7,7,7,0,1,6,0.8571428571428571,1.0,-1.2291279661902887,-0.8063153764119915,1.339096032094435,4.524638054534295,2.073127231208788,replogle;sciplex3
LIMD1-AS1,2,7,7,6,1,1,6,0.8571428571428571,1.0,-0.6040791970593088,-1.1998127885365675,1.2750363943999903,2.348350190692386,1.9739530299993286,dixit;sciplex3
