gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
CCDC84,2,43,43,42,1,6,37,0.8604651162790697,1.0,-0.49268683306351535,-0.5901981752333432,0.6923827483629218,1.4857402867346454,1.9582435532626292,dixit;replogle
ZNF232,2,100,100,100,0,14,86,0.86,1.0,-0.6978809152844352,-0.733620655274183,0.9386365729739445,3.072117650217002,3.2358864741323212,replogle;sciplex3
BEX2,2,50,50,50,0,43,7,0.86,1.0,0.8397452617682876,0.9798403535236695,1.0648866978983154,3.2088229400914536,3.127594277957871,replogle;sciplex3
TAF6L,2,50,50,50,0,7,43,0.86,1.0,-0.6701906278976776,-0.6477660816666059,0.8119327281051636,3.076674845943666,2.384663231797565,replogle;sciplex3
GID4,2,64,64,64,0,9,55,0.859375,1.0,-0.7090545600930508,-0.6539318498150359,0.8764986040741884,3.1374424477209533,2.731121295383446,replogle;sciplex3
IKBKG,2,91,91,91,0,13,78,0.8571428571428571,1.0,-0.775427511095907,-0.6893749078813618,1.0982118587826952,2.9260837663915438,3.6971229944982733,replogle;sciplex3
EIF4EBP3,2,91,91,91,0,13,78,0.8571428571428571,1.0,-0.527673353323765,-0.5960918352520048,0.7460489896242687,2.4780060215265505,2.5115690133044386,replogle;sciplex3
UCK1,2,70,70,70,0,10,60,0.8571428571428571,1.0,-1.464200828177451,-2.054460817939952,1.6488961406161333,2.9285419230205467,5.232913279690764,replogle;sciplex3
EXO5,2,70,70,70,0,10,60,0.8571428571428571,1.0,-0.592586938661027,-0.6313029583542354,0.7643316956067175,2.3081026520969945,2.42567217031293,replogle;sciplex3
MED30,2,63,63,63,0,9,54,0.8571428571428571,1.0,-1.0743828753129878,-1.3520596650781944,1.7983002645284216,2.7103014945136197,5.568092442859134,replogle;sciplex3
C11orf68,2,49,49,49,0,7,42,0.8571428571428571,1.0,-1.8120976902159165,-2.3734786359530577,2.170512701331146,2.963770450424629,6.32166166901479,replogle;sciplex3
ZBTB39,2,49,49,49,0,7,42,0.8571428571428571,1.0,-0.51529314293652,-0.5761568488256639,0.9871825920961672,2.7790482401820515,2.8751890504698294,replogle;sciplex3
AUH,2,42,42,42,0,6,36,0.8571428571428571,1.0,-0.6212210664401147,-0.6388413578513189,0.7790594209291096,4.445051975254819,2.181546838473942,replogle;sciplex3
ITGB7,2,35,35,18,17,30,5,0.8571428571428571,1.0,1.2986875792901398,1.5111881273144943,1.7066630337243125,3.081893558933476,4.553286766889542,norman;sciplex3
TRIM65,2,35,35,35,0,5,30,0.8571428571428571,1.0,-1.032063099616645,-0.661267974180737,1.2110709922176777,3.594523974604029,3.2310733950773,replogle;sciplex3
ALG14,2,35,35,35,0,5,30,0.8571428571428571,1.0,-0.8922791822794247,-0.6673136729630147,1.1107173362958465,3.6555417485605926,2.9633351453533816,replogle;sciplex3
ENTPD6,2,35,35,35,0,5,30,0.8571428571428571,1.0,-0.8443093199521586,-0.6634321390646905,1.0031785789260308,3.1016877735250254,2.6764274247407234,replogle;sciplex3
TMEM8A,2,35,35,35,0,5,30,0.8571428571428571,1.0,-0.7450202913987811,-0.5668711909404718,0.9651560097074029,3.4447789036974372,2.574985219779784,replogle;sciplex3
SETD9,2,28,28,28,0,4,24,0.8571428571428571,1.0,-0.7543090241633352,-0.7429038705542559,1.5272700517990943,2.8234250103131897,3.828817141717766,replogle;sciplex3
L1CAM,2,21,21,20,1,18,3,0.8571428571428571,1.0,1.9967354532862442,2.5208680365057186,2.686785251342762,3.7751395008773563,6.183088216973341,norman;sciplex3
SPSB1,2,21,21,19,2,18,3,0.8571428571428571,1.0,1.899475454523461,2.6536816730882324,2.55990007077125,3.306622318831048,5.8910878553857655,norman;sciplex3
ZMYND11,2,21,21,21,0,3,18,0.8571428571428571,1.0,-1.6260851409883845,-0.5631660778449983,1.771799640223909,4.590009284089494,4.077435467844343,replogle;sciplex3
JRKL,2,21,21,19,2,3,18,0.8571428571428571,1.0,-1.113817987097573,-1.399579936656773,1.7585346502270824,2.8744709327504316,4.0469087991027095,norman;sciplex3
CCNJL,2,21,21,9,12,18,3,0.8571428571428571,1.0,1.2122006732746873,1.1650817016241048,1.7220651270138922,4.273584221095774,3.962981630325295,norman;sciplex3
XKR8,2,21,21,19,2,3,18,0.8571428571428571,1.0,-0.958720137392647,-1.5621743933887493,1.564058177002198,2.47541463873937,3.5993608644568855,dixit;sciplex3
METTL22,2,21,21,21,0,3,18,0.8571428571428571,1.0,-0.6861855118835665,-0.5235577676062273,0.8969514987187746,3.3425668569918114,2.0641509179615194,replogle;sciplex3
KPNA5,2,21,21,21,0,3,18,0.8571428571428571,1.0,-0.7171395779879989,-0.6858598793780004,0.8910109241145301,3.1395401022826532,2.050479897242912,replogle;sciplex3
ANKRD13C,2,21,21,20,1,3,18,0.8571428571428571,1.0,-0.5367850541467164,-0.5824057886099903,0.6482608881270536,1.226400833497438,1.491840204534349,norman;replogle
C2orf88,2,14,14,14,0,2,12,0.8571428571428571,1.0,-1.739717045819884,-2.1834785804045183,2.1148682268208323,3.4447789036974372,4.263905203917547,replogle;sciplex3
MARCKSL1,2,14,14,14,0,2,12,0.8571428571428571,1.0,-1.523714538501751,-0.8770249158457069,1.800014053877456,3.8317901483898558,3.6291099341874142,replogle;sciplex3
TRAM2-AS1,2,14,14,13,1,2,12,0.8571428571428571,1.0,-0.8310366660185805,-1.3962729994300354,1.4979758210412673,2.346214144790987,3.0201536046915294,adamson;sciplex3
TMEM68,2,14,14,14,0,2,12,0.8571428571428571,1.0,-1.0460199621975612,-0.5997447545332435,1.187352543551718,3.4920997758541157,2.3938884820949244,replogle;sciplex3
